name,percentage_positive_review,review_qualification,all_reviews
Sangokushi Eiketsuden / 三國志英傑伝,81,Positive,"Positive,(22),- 81% of the 22 user reviews for this game are positive."
Inception VR,85,Positive,"Positive,(14),- 85% of the 14 user reviews for this software are positive."
Ride 2 Free Bikes Pack 9,-1,,"5 user reviews,- Need more user reviews to generate a score"
Ride 2 Free Bikes Pack 8,-1,,"5 user reviews,- Need more user reviews to generate a score"
Ride 2 Free Bikes Pack 6,-1,,"7 user reviews,- Need more user reviews to generate a score"
Slowdrive,93,Positive,"Positive,(47),- 93% of the 47 user reviews for this game are positive."
RPG Maker MV - Japanese Character Generator Expansion 3,-1,,"5 user reviews,- Need more user reviews to generate a score"
Expeditions: Viking - Soundtrack and Art Book,-1,,"3 user reviews,- Need more user reviews to generate a score"
Jupiteration,-1,,"9 user reviews,- Need more user reviews to generate a score"
RPG Maker MV - Japanese Character Generator Expansion 1,-1,,"5 user reviews,- Need more user reviews to generate a score"
NakedMan VS The Clothes,-1,,"5 user reviews,- Need more user reviews to generate a score"
SmuggleCraft,-1,,"8 user reviews,- Need more user reviews to generate a score"
Super Army of Tentacles 3: The Search for Army of Tentacles 2,-1,,"7 user reviews,- Need more user reviews to generate a score"
Fishing Planet: Gars&Glory Pack,100,Positive,"Positive,(12),- 100% of the 12 user reviews for this game are positive."
Fishing Planet: Mighty Carp Pack,-1,,"6 user reviews,- Need more user reviews to generate a score"
Sport Topwater Night Pack,-1,,"7 user reviews,- Need more user reviews to generate a score"
Fishing Planet: Spring Cats Pack,86,Positive,"Positive,(15),- 86% of the 15 user reviews for this game are positive."
"Warhammer 40,000: Eternal Crusade - Waaagh! Weapon Pack",-1,,"5 user reviews,- Need more user reviews to generate a score"
Light It ~ てらし鬼 ~,-1,,"3 user reviews,- Need more user reviews to generate a score"
Clicker Heroes: Boxy & Bloop Auto Clicker,-1,,"7 user reviews,- Need more user reviews to generate a score"
Deep End,-1,,"1 user reviews,- Need more user reviews to generate a score"
Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Russia,-1,,"1 user reviews,- Need more user reviews to generate a score"
Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Desserts,-1,,"1 user reviews,- Need more user reviews to generate a score"
Journey of Johann,-1,,"2 user reviews,- Need more user reviews to generate a score"
Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Urban Decay,-1,,"2 user reviews,- Need more user reviews to generate a score"
Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Trains,-1,,"1 user reviews,- Need more user reviews to generate a score"
The Overdreamer,-1,,"5 user reviews,- Need more user reviews to generate a score"
Road Redemption: Name A Character,90,Positive,"Positive,(10),- 90% of the 10 user reviews for this game are positive."
Assassination ClassroomVR Balloon Challenge Time/暗殺教室VR バルーンチャレンジの時間,-1,,"9 user reviews,- Need more user reviews to generate a score"
Anomie,-1,,"2 user reviews,- Need more user reviews to generate a score"
No Clue VR,-1,,"5 user reviews,- Need more user reviews to generate a score"
Scrollonoid,-1,,"1 user reviews,- Need more user reviews to generate a score"
ICARUS.1 - PROTOTYPE EDITION,-1,,"1 user reviews,- Need more user reviews to generate a score"
RPG Maker MV - 8-bit Perfect Collection,-1,,"4 user reviews,- Need more user reviews to generate a score"
Zup! Zero - DLC,95,Positive,"Positive,(42),- 95% of the 42 user reviews for this game are positive."
Son of Scoregasm,-1,,"6 user reviews,- Need more user reviews to generate a score"
PuppetShow™: Souls of the Innocent Collector's Edition,-1,,"1 user reviews,- Need more user reviews to generate a score"
VentureVerse: Legend of Ulora,-1,,"3 user reviews,- Need more user reviews to generate a score"
Strata inStudio VR,-1,,"9 user reviews,- Need more user reviews to generate a score"
Sandra and Woo in the Cursed Adventure - Poser Pack Upgrade,-1,,"1 user reviews,- Need more user reviews to generate a score"
Redout - Mars Pack,83,Positive,"Positive,(24),- 83% of the 24 user reviews for this game are positive."
Redout - V.E.R.T.E.X. Pack,84,Positive,"Positive,(26),- 84% of the 26 user reviews for this game are positive."
Narcissu 10th Anniversary Soundtrack,100,Positive,"Positive,(10),- 100% of the 10 user reviews for this game are positive."
onechanbara Z2 :Chaos All DLC Bundle,-1,,
Food Truck VR,90,Positive,"Positive,(11),- 90% of the 11 user reviews for this game are positive."
X-Plane 11 - Add-on: Aerosoft - Airport Dublin V2.0,-1,,"2 user reviews,- Need more user reviews to generate a score"
League of Light: Wicked Harvest Collector's Edition,-1,,"2 user reviews,- Need more user reviews to generate a score"
Button Bros/Button Button,93,Positive,"Positive,(15),- 93% of the 15 user reviews for this game are positive."
Ashes of the Singularity: Escalation - Co-Op Map Pack,-1,,"6 user reviews,- Need more user reviews to generate a score"
PlayClaw 5 - Game Recording and Streaming,66,Mixed,"Mixed,(339),- 66% of the 339 user reviews for this software are positive."
Battlerite Royale - Legendary Adventure Pack Vol.2,-1,,"6 user reviews,- Need more user reviews to generate a score"
Lunaform,-1,,"5 user reviews,- Need more user reviews to generate a score"
Watch_Dogs® 2 - Bay Area Thrash Pack,-1,,"8 user reviews,- Need more user reviews to generate a score"
Watch_Dogs® 2 - Ride Britannia Pack,-1,,"2 user reviews,- Need more user reviews to generate a score"
Watch_Dogs® 2 - Glow_Pro Pack,-1,,"7 user reviews,- Need more user reviews to generate a score"
Watch_Dogs® 2 - Retro Modernist Pack,-1,,"4 user reviews,- Need more user reviews to generate a score"
Life of a Wizard,92,Positive,"Positive,(39),- 92% of the 39 user reviews for this game are positive."
Life of a Mobster,90,Positive,"Positive,(21),- 90% of the 21 user reviews for this game are positive."
Embers of Mirrim,84,Positive,"Positive,(13),- 84% of the 13 user reviews for this game are positive."
Princess Kidnapper 2 - VR,-1,,"5 user reviews,- Need more user reviews to generate a score"
Serafina's Crown,84,Positive,"Positive,(13),- 84% of the 13 user reviews for this game are positive."
Ballistic,-1,,"5 user reviews,- Need more user reviews to generate a score"
Injustice™ 2 - TMNT,90,Positive,"Positive,(22),- 90% of the 22 user reviews for this game are positive."
Rym 9000,91,Positive,"Positive,(37),- 91% of the 37 user reviews for this game are positive."
Once upon a Dungeon,90,Positive,"Positive,(11),- 90% of the 11 user reviews for this game are positive."
Gravel Ice and Fire,-1,,"5 user reviews,- Need more user reviews to generate a score"
Bomber Crew Season Pass,92,Positive,"Positive,(40),- 92% of the 40 user reviews for this game are positive."
Monster Hunter: World - Gesture: Kneel,-1,,"4 user reviews,- Need more user reviews to generate a score"
Monster Hunter: World - Gesture: Kowtow,-1,,"5 user reviews,- Need more user reviews to generate a score"
Black Jewel,83,Positive,"Positive,(49),- 83% of the 49 user reviews for this game are positive."
MIMIC,-1,,"1 user reviews,- Need more user reviews to generate a score"
BloodLust 2: Nemesis,84,Positive,"Positive,(33),- 84% of the 33 user reviews for this game are positive."
Your Bunny Wrote,88,Positive,"Positive,(27),- 88% of the 27 user reviews for this game are positive."
Arcade Love / ゲーセンラブ。,-1,,"4 user reviews,- Need more user reviews to generate a score"
A Day For A Kitten,80,Positive,"Positive,(20),- 80% of the 20 user reviews for this game are positive."
MazeQuest 2,-1,,"5 user reviews,- Need more user reviews to generate a score"
Dawn's Light,93,Positive,"Positive,(29),- 93% of the 29 user reviews for this game are positive."
DWVR,92,Positive,"Positive,(13),- 92% of the 13 user reviews for this game are positive."
CyberThreat,74,Mostly Positive,"Mostly Positive,(94),- 74% of the 94 user reviews for this game are positive."
Wrack: Exoverse,90,Positive,"Positive,(11),- 90% of the 11 user reviews for this game are positive."
Animal couple FULL,-1,,
Ashes of the Singularity: Escalation - Oblivion DLC,-1,,"1 user reviews,- Need more user reviews to generate a score"
Taikou Risshiden / 太閤立志伝,89,Positive,"Positive,(28),- 89% of the 28 user reviews for this game are positive."
Uncharted Waters / 大航海時代,90,Positive,"Positive,(21),- 90% of the 21 user reviews for this game are positive."
Automobilista - Season Pass for all DLCs,100,Positive,"Positive,(14),- 100% of the 14 user reviews for this game are positive."
This World Unknown,87,Positive,"Positive,(24),- 87% of the 24 user reviews for this game are positive."
BomberZone,-1,,"9 user reviews,- Need more user reviews to generate a score"
The Electric Shocktopus,-1,,"1 user reviews,- Need more user reviews to generate a score"
Atlantis: Pearls of the Deep,82,Positive,"Positive,(28),- 82% of the 28 user reviews for this game are positive."
Stone Age Wars,84,Positive,"Positive,(19),- 84% of the 19 user reviews for this game are positive."
Timore 5,84,Positive,"Positive,(38),- 84% of the 38 user reviews for this game are positive."
Dots eXtreme,86,Positive,"Positive,(36),- 86% of the 36 user reviews for this game are positive."
NeuroVoider - Deluxe Upgrade,-1,,"2 user reviews,- Need more user reviews to generate a score"
Endless Space® 2 - Renegade Fleets,-1,,"5 user reviews,- Need more user reviews to generate a score"
RESIDENT EVIL 2 - Claire Costume: Elza Walker,100,Positive,"Positive,(42),- 100% of the 42 user reviews for this game are positive."
RESIDENT EVIL 2 - Claire Costume: Noir,93,Positive,"Positive,(31),- 93% of the 31 user reviews for this game are positive."
RESIDENT EVIL 2 - Claire Costume: Military,82,Positive,"Positive,(34),- 82% of the 34 user reviews for this game are positive."
RESIDENT EVIL 2 - Leon Costume: Arklay Sheriff,94,Positive,"Positive,(36),- 94% of the 36 user reviews for this game are positive."
RESIDENT EVIL 2 - Leon Costume: Noir,87,Positive,"Positive,(33),- 87% of the 33 user reviews for this game are positive."
Artificial Mansion,100,Positive,"Positive,(10),- 100% of the 10 user reviews for this game are positive."
We Happy Few - Season Pass,-1,,"4 user reviews,- Need more user reviews to generate a score"
VANILLA - GARDEN OF JUDGEMENT,-1,,"9 user reviews,- Need more user reviews to generate a score"
Loca-Love My Cute Roommate,90,Positive,"Positive,(32),- 90% of the 32 user reviews for this game are positive."
CrossCode Soundtrack,-1,,"6 user reviews,- Need more user reviews to generate a score"
FSX Steam Edition: Ultimate Water X Add-On,-1,,"6 user reviews,- Need more user reviews to generate a score"
UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call All Characters,-1,,"1 user reviews,- Need more user reviews to generate a score"
Goalkeeper Legend,-1,,"2 user reviews,- Need more user reviews to generate a score"
美少女麻将接龙,81,Positive,"Positive,(11),- 81% of the 11 user reviews for this game are positive."
InductVR (beta),-1,,"1 user reviews,- Need more user reviews to generate a score"
UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Orie,-1,,"1 user reviews,- Need more user reviews to generate a score"
UNDER NIGHT IN-BIRTH ExeLate[st] - Round Call Voice Mika,-1,,"3 user reviews,- Need more user reviews to generate a score"
RIDE 3 - Free Pack 8,-1,,"2 user reviews,- Need more user reviews to generate a score"
Rocksmith® 2014 Edition – Remastered – Sabaton Song Pack,-1,,"3 user reviews,- Need more user reviews to generate a score"
IL-2 Sturmovik: Spitfire Mk.VB Collector Plane,-1,,"5 user reviews,- Need more user reviews to generate a score"
Half-Life: A Place in the West - Chapter 5,-1,,"3 user reviews,- Need more user reviews to generate a score"
Absolver - Adalian Forest Pack,93,Positive,"Positive,(43),- 93% of the 43 user reviews for this game are positive."
IL-2 Sturmovik: Hs 129 B-2 Collector Plane,-1,,"2 user reviews,- Need more user reviews to generate a score"
Kith - Lorebook,-1,,"1 user reviews,- Need more user reviews to generate a score"
MetaMorph: Dungeon Creatures,86,Positive,"Positive,(22),- 86% of the 22 user reviews for this game are positive."
Wild Glory,92,Positive,"Positive,(28),- 92% of the 28 user reviews for this game are positive."
Skyforge - Costume Booster Pack,-1,,"2 user reviews,- Need more user reviews to generate a score"
IL-2 Sturmovik: MC.202 Series VIII Collector Plane,-1,,"9 user reviews,- Need more user reviews to generate a score"
Kimmy,100,Positive,"Positive,(18),- 100% of the 18 user reviews for this game are positive."
Dark Mechanism - Virtual reality,-1,,"2 user reviews,- Need more user reviews to generate a score"
Kautic - The Bald Wizard,-1,,"8 user reviews,- Need more user reviews to generate a score"
TASTEE: Lethal Tactics - Map: Backyard Colosseum,-1,,"1 user reviews,- Need more user reviews to generate a score"
Rogue'n Roll,-1,,"2 user reviews,- Need more user reviews to generate a score"
Kapsul Infinite,-1,,"1 user reviews,- Need more user reviews to generate a score"
Tomoyo After - Original Soundtrack,-1,,"8 user reviews,- Need more user reviews to generate a score"
illumine,95,Positive,"Positive,(24),- 95% of the 24 user reviews for this game are positive."
Livelock: Original Soundtrack,-1,,"5 user reviews,- Need more user reviews to generate a score"
Dead End Junction,100,Positive,"Positive,(24),- 100% of the 24 user reviews for this game are positive."
How to shoot a criminal,83,Positive,"Positive,(18),- 83% of the 18 user reviews for this game are positive."
Snowday,83,Positive,"Positive,(12),- 83% of the 12 user reviews for this game are positive."
Zissi's Island,87,Positive,"Positive,(16),- 87% of the 16 user reviews for this game are positive."
Glory by Example,-1,,"9 user reviews,- Need more user reviews to generate a score"
Freebie - Color Blind Pack (Yellow/Blue),93,Positive,"Positive,(15),- 93% of the 15 user reviews for this game are positive."
